,line 1,line 2,line 3,line 4,piece to move,place to occupy,possibility of win
0,1000,2121,3221,4000,5122,6032,-3.375
1,1000,2211,3212,4000,5121,6031,-0.875
2,1000,2211,3212,4000,5121,6032,-1.625
3,1000,2211,3221,4000,5122,6032,-5.333333333333334
4,1000,2221,3211,4000,5121,6031,-0.125
5,1000,2221,3211,4000,5121,6032,-0.5
6,1000,2221,3211,4000,5122,6032,-0.125
7,1001,2011,3202,4020,5111,6021,-2.6666666666666665
8,1001,2011,3202,4200,5111,6021,-0.9999999999999999
9,1001,2011,3220,4002,5111,6022,-4.0
10,1001,2011,3220,4002,5112,6022,-1.75
11,1001,2011,3220,4020,5111,6022,-0.8333333333333333
12,1001,2011,3220,4020,5112,6022,-0.6904761904761904
13,1001,2011,3220,4200,5111,6022,-0.5
14,1001,2011,3220,4200,5112,6022,-0.38095238095238093
15,1001,2012,3120,4200,5111,6022,-0.005952380952380959
16,1001,2012,3120,4200,5120,6031,-0.29166666666666663
17,1001,2012,3210,4020,5111,6022,-0.25
18,1001,2012,3210,4020,5121,6032,-0.325
19,1001,2012,3210,4200,5111,6022,-0.29166666666666663
20,1001,2012,3210,4200,5121,6032,-0.2
21,1001,2012,3220,4001,5111,6022,-0.2
22,1001,2012,3220,4010,5111,6022,-0.29166666666666663
23,1001,2021,3012,4200,5121,6032,-0.25
24,1001,2021,3102,4200,5120,6031,-0.5
25,1001,2021,3120,4200,5112,6022,-0.23214285714285715
26,1001,2021,3120,4200,5120,6031,-0.625
27,1001,2021,3201,4200,5122,6032,-0.16666666666666666
28,1001,2021,3210,4020,5112,6022,-1.1904761904761905
29,1001,2021,3210,4020,5121,6032,-1.8333333333333335
30,1001,2021,3210,4200,5112,6022,-1.2083333333333335
31,1001,2021,3210,4200,5121,6031,0.14285714285714285
32,1001,2021,3210,4200,5121,6032,-0.3333333333333333
33,1001,2021,3220,4001,5112,6022,-0.5
34,1001,2021,3220,4010,5112,6022,-0.375
35,1001,2101,3022,4200,5110,6020,-0.75
36,1001,2101,3202,4020,5110,6021,-2.6904761904761902
37,1001,2101,3202,4200,5110,6021,-1.023809523809524
38,1001,2101,3220,4002,5112,6022,-2.1904761904761907
39,1001,2101,3220,4020,5112,6022,-1.375
40,1001,2101,3220,4200,5112,6022,-0.10595238095238094
41,1001,2102,3021,4200,5122,6032,-0.125
42,1001,2102,3201,4020,5110,6021,-0.5666666666666667
43,1001,2102,3210,4020,5121,6032,-0.125
44,1001,2102,3210,4200,5121,6031,0.2
45,1001,2102,3210,4200,5121,6032,0.07500000000000001
46,1001,2110,3022,4200,5102,6012,-1.3333333333333333
47,1001,2110,3022,4200,5110,6020,-0.005952380952380959
48,1001,2110,3202,4020,5102,6012,-1.3333333333333333
49,1001,2110,3202,4020,5110,6021,-1.2666666666666666
50,1001,2110,3202,4020,5111,6021,-0.10714285714285715
51,1001,2110,3202,4200,5102,6012,0.6666666666666666
52,1001,2110,3202,4200,5110,6021,-0.2
53,1001,2110,3202,4200,5111,6021,0.07500000000000001
54,1001,2110,3220,4002,5102,6012,-4.999999999999999
55,1001,2110,3220,4002,5111,6022,-1.2083333333333333
56,1001,2110,3220,4020,5102,6012,2.333333333333333
57,1001,2110,3220,4020,5111,6022,-0.9999999999999999
58,1001,2110,3220,4200,5102,6012,4.0
59,1001,2110,3220,4200,5111,6022,0.15000000000000002
60,1001,2112,3000,4220,5110,6020,0.01785714285714285
61,1001,2112,3000,4220,5110,6021,-0.41666666666666663
62,1001,2112,3000,4220,5111,6021,0.2
63,1001,2112,3000,4220,5111,6022,-0.6916666666666667
64,1001,2120,3021,4200,5110,6020,-0.125
65,1001,2120,3201,4002,5102,6012,-1.7083333333333333
66,1001,2120,3201,4002,5110,6021,-2.857142857142857
67,1001,2120,3201,4020,5102,6012,-1.375
68,1001,2120,3201,4020,5110,6021,-0.9583333333333333
69,1001,2120,3201,4020,5122,6032,-0.75
70,1001,2120,3201,4200,5102,6012,0.6178571428571429
71,1001,2120,3201,4200,5110,6021,-0.8333333333333333
72,1001,2120,3201,4200,5122,6032,0.29285714285714287
73,1001,2120,3210,4020,5102,6012,-0.125
74,1001,2120,3210,4020,5121,6032,0.01785714285714285
75,1001,2120,3220,4001,5102,6012,-0.5
76,1001,2121,3000,4202,5110,6020,0.30357142857142855
77,1001,2121,3000,4202,5110,6021,-0.375
78,1001,2121,3000,4202,5112,6022,-0.25
79,1001,2121,3000,4220,5110,6020,-0.375
80,1001,2121,3000,4220,5110,6021,-0.16666666666666666
81,1001,2121,3000,4220,5112,6022,-0.35714285714285715
82,1001,2201,3012,4020,5121,6032,-3.333333333333333
83,1001,2201,3012,4200,5121,6031,-0.625
84,1001,2201,3012,4200,5121,6032,-0.9166666666666666
85,1001,2201,3021,4020,5122,6032,-0.5
86,1001,2201,3021,4200,5122,6032,-0.8333333333333333
87,1001,2201,3102,4200,5120,6031,-0.125
88,1001,2201,3201,4020,5122,6032,-0.6666666666666666
89,1001,2201,3201,4200,5122,6032,-0.8333333333333333
90,1001,2201,3210,4002,5112,6022,-0.25
91,1001,2201,3210,4002,5121,6031,-0.375
92,1001,2201,3210,4200,5112,6022,-0.16666666666666666
93,1001,2201,3220,4001,5112,6022,-1.1666666666666665
94,1001,2201,3220,4010,5112,6022,-0.125
95,1001,2202,3011,4020,5121,6032,-0.5666666666666667
96,1001,2202,3011,4200,5121,6032,-0.16666666666666666
97,1001,2202,3101,4200,5120,6031,-0.125
98,1001,2202,3101,4200,5122,6032,-0.16666666666666666
99,1001,2202,3201,4010,5122,6032,-0.16666666666666666
100,1001,2202,3210,4001,5121,6031,-0.16666666666666666
101,1001,2202,3210,4010,5121,6032,-0.125
102,1001,2210,3012,4020,5102,6012,-0.375
103,1001,2210,3012,4020,5121,6032,-1.0166666666666666
104,1001,2210,3012,4200,5102,6012,-0.125
105,1001,2210,3012,4200,5121,6031,-0.125
106,1001,2210,3012,4200,5121,6032,-0.41666666666666663
107,1001,2210,3021,4002,5102,6012,-3.0
108,1001,2210,3021,4020,5102,6012,-0.35714285714285715
109,1001,2210,3021,4020,5122,6032,-1.3333333333333333
110,1001,2210,3021,4200,5102,6012,-0.5
111,1001,2210,3021,4200,5122,6032,-0.23809523809523808
112,1001,2210,3022,4001,5102,6012,-0.2
113,1001,2210,3102,4200,5102,6012,-0.125
114,1001,2210,3102,4200,5120,6031,-0.29166666666666663
115,1001,2210,3120,4200,5120,6031,0.14285714285714285
116,1001,2210,3201,4002,5102,6012,-1.3333333333333333
117,1001,2210,3201,4002,5111,6021,-1.125
118,1001,2210,3201,4020,5102,6012,0.2857142857142857
119,1001,2210,3201,4020,5111,6021,-0.16666666666666666
120,1001,2210,3201,4020,5122,6032,-0.16666666666666666
121,1001,2210,3201,4200,5102,6012,0.0952380952380952
122,1001,2210,3201,4200,5122,6032,0.2857142857142857
123,1001,2210,3202,4001,5102,6012,-0.125
124,1001,2210,3202,4010,5102,6012,-0.25
125,1001,2210,3202,4010,5111,6021,-0.29166666666666663
126,1001,2210,3210,4002,5102,6012,-0.125
127,1001,2210,3210,4002,5111,6022,-0.25
128,1001,2210,3210,4002,5121,6031,-0.125
129,1001,2210,3220,4001,5102,6012,0.11904761904761904
130,1001,2210,3220,4001,5111,6022,-1.1666666666666665
131,1001,2210,3220,4010,5111,6022,0.14285714285714285
132,1001,2211,3000,4022,5111,6021,-0.35714285714285715
133,1001,2211,3000,4022,5111,6022,-1.6666666666666665
134,1001,2211,3000,4022,5112,6022,-0.9583333333333333
135,1001,2211,3000,4202,5111,6021,-0.5
136,1001,2211,3000,4202,5111,6022,-1.8333333333333333
