lin1,lin2,lin3,lin4,lin5,lin6,lin7,lin8,win
13,0,0,26,12,1,0,26,0
13,0,0,26,4,3,0,26,0
13,0,0,26,10,1,0,26,0
18,25,0,4,18,24,1,4,0
13,0,0,26,4,9,0,26,0
13,0,0,26,10,3,0,26,0
24,0,22,1,24,0,19,4,0
18,19,7,3,18,19,6,4,0
18,4,24,1,18,1,25,1,0
18,19,4,2,18,19,1,5,0
9,21,24,1,9,18,25,1,0
12,1,18,8,9,4,18,8,0
3,10,24,2,0,13,24,2,0
24,1,18,4,24,0,19,4,0
0,22,25,0,0,22,24,1,0
9,4,8,18,0,13,8,18,0
18,4,20,1,18,1,23,1,0
1,12,24,2,0,13,24,2,0
10,1,18,8,1,4,18,8,0
9,19,7,2,0,22,7,2,0
1,4,24,2,1,1,25,2,0
9,4,20,6,0,13,20,6,0
10,1,2,24,1,4,2,24,0
4,3,18,8,1,4,18,8,0
6,15,19,1,6,6,22,1,0
19,0,25,1,18,1,25,1,0
6,10,24,1,6,9,25,1,0
10,3,18,8,1,12,18,8,0
12,1,6,20,9,4,6,20,0
18,4,20,3,18,1,23,3,0
12,1,2,24,3,4,2,24,0
0,16,25,0,0,16,24,1,0
1,19,5,6,1,19,2,7,0
3,10,20,6,0,13,20,6,0
10,3,2,24,9,4,2,24,0
4,9,18,8,3,10,18,8,0
12,1,18,8,3,10,18,8,0
10,1,18,8,10,0,19,8,0
1,21,7,2,0,22,7,2,0
3,19,7,2,0,22,7,2,0
12,1,18,8,12,0,19,8,0
1,15,19,2,1,6,22,2,0
4,3,6,20,3,4,6,20,0
4,3,6,20,1,4,6,20,0
18,15,19,1,18,6,22,1,0
1,10,20,6,1,1,23,6,0
3,10,8,18,0,13,8,18,0
1,4,20,6,1,1,23,6,0
18,19,5,3,18,19,2,4,0
10,3,6,20,1,12,6,20,0
9,21,7,18,9,21,6,19,0
10,0,25,2,1,3,25,2,0
4,3,18,8,4,0,19,8,0
18,10,24,1,18,9,25,1,0
3,4,24,2,3,1,25,2,0
12,1,6,20,12,0,7,20,0
10,0,25,2,9,1,25,2,0
4,3,2,24,1,4,2,24,0
10,3,6,20,10,0,7,20,0
9,21,7,6,9,21,6,7,0
4,9,18,8,4,0,21,8,0
18,4,19,2,18,1,22,2,0
9,22,0,8,9,21,1,8,0
12,1,2,24,3,10,2,24,0
1,10,24,2,1,9,25,2,0
12,1,18,8,3,4,18,8,0
18,4,5,6,18,4,2,7,0
9,4,24,2,9,1,25,2,0
3,4,20,6,3,1,23,6,0
10,1,6,20,10,0,7,20,0
10,1,2,24,1,10,2,24,0
12,1,6,20,3,10,6,20,0
1,25,0,7,1,24,1,7,0
18,19,5,1,18,19,2,4,0
18,24,4,1,18,24,1,4,0
4,9,2,24,3,10,2,24,0
3,10,24,2,3,9,25,2,0
4,3,6,24,1,4,6,24,0
3,15,19,2,0,16,19,2,0
12,1,6,20,3,4,6,20,0
10,3,18,8,10,0,21,8,0
6,19,4,2,6,19,1,5,0
18,7,21,1,18,6,22,1,0
1,22,0,20,1,19,1,20,0
1,7,21,6,1,7,18,7,0
10,1,18,20,1,4,18,20,0
9,19,19,2,0,22,19,2,0
9,19,5,6,0,22,5,6,0
12,1,2,24,9,4,2,24,0
18,7,21,1,18,7,18,4,0
10,3,18,8,10,0,19,8,0
3,21,7,2,0,22,7,2,0
18,10,19,2,18,1,22,2,0
1,4,24,2,1,3,25,2,0
3,19,5,6,0,22,5,6,0
1,15,19,2,0,16,19,2,0
4,0,23,6,4,0,20,7,0
9,4,24,2,0,13,24,2,0
1,22,0,8,1,19,1,8,0
4,9,6,20,3,10,6,20,0
10,1,18,8,1,10,18,8,0
0,22,23,0,0,22,20,1,0
4,3,18,8,4,0,21,8,0
4,3,6,20,4,0,7,20,0
3,10,20,6,3,1,23,6,0
4,3,18,8,3,4,18,8,0
7,18,1,7,6,19,1,7,0
1,24,19,1,0,25,19,1,0
18,19,4,6,18,19,1,7,0
3,25,0,7,3,24,1,7,0
19,0,22,2,18,1,22,2,0
4,0,25,2,3,1,25,2,0
18,7,4,2,18,7,1,5,0
